17592186048514,Haim,11,9,380,312,59,1,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,17,8,18,34,18,4,7,5,14,11,2,4,12,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,2,2,4,1,1,2,3,7,1,5,6,10,2,0,0,0
19791209304579,Jose,19,16,261,330,70,1,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,9,6,24,2,9,11,3,17,7,13,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,8,2,4,3,4,3,3,2,5,7,7,7,4,0,0,0
26388279072771,Alexander G.,1,62,9,33,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,4,0,2,22,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
26388279072772,Lei,34,3,352,217,120,1,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,39,11,7,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,18,16,13,23,12,0,0,0
5,Ernest B,32,521,299,1501,227,1,654,0,15,31,38,15,8,17,43,55,46,59,47,16,12,21,18,73,45,18,72,20,40,48,25,59,29,10,28,44,29,41,84,66,3,0,0,0,0,2,8,5,2,1,0,1,0,3,2,2,1,5,4,4,5,5,8,3,5,5,6,14,6,9,15,10,17,18,15,22,14,10,0,0,0
26388279072773,Artur,1,0,21,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0
24189255816712,Choi,27,85,222,192,92,1,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,22,38,41,9,11,21,44,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,7,6,5,11,14,12,10,6,0,0,0
26388279072778,Joao,77,73,414,749,186,1,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,55,29,68,26,96,74,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,51,18,19,20,26,26,16,0,0,0
32985348840971,Ganesh,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28587302328843,Julien,0,1,2,3,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
